"id","status","donor_id","receiver_id","collected_at","created_at","updated_at","has_invoice_photo"
"1945cbc3-89cf-41b2-be26-a18d527b685c","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-05-30T20:00:00Z","2025-05-31T21:41:03.16513Z","2025-05-31T21:48:27.12088Z","true"
"93fe1e4a-9319-46f8-8eba-960df57933c4","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-05T19:00:00Z","2025-06-07T21:10:59.508083Z","2025-06-07T21:26:14.212919Z","true"
"ff8d6aed-a3fb-41d6-b1dc-68343689871c","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-06T18:30:00Z","2025-06-07T22:15:46.347802Z","2025-06-07T22:24:04.369241Z","true"
"b6bfe1a8-69a1-45d8-8b46-c605f66bc0d3","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-05-21T19:00:00Z","2025-05-22T12:19:03.025598Z","2025-05-22T12:30:24.989758Z","true"
"e48ec3a4-9b15-494b-a29e-b82b2ebe9fc9","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-14T18:00:00Z","2025-06-16T18:31:01.630431Z","2025-06-16T18:37:47.045161Z","true"
"46274913-1612-4431-8a72-b1a589eddabb","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-05-31T21:30:00Z","2025-06-01T15:41:15.280509Z","2025-06-01T16:00:28.548263Z","true"
"a003e729-30ce-48f6-9d7a-31436372bbb1","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-02T20:00:00Z","2025-06-03T14:27:41.013569Z","2025-06-03T14:34:16.864442Z","true"
"a1684a28-0099-439f-a6cc-d11087d25b87","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-07-02T18:00:00Z","2025-07-02T18:33:38.437346Z","2025-07-02T19:21:29.201944Z","true"
"3ad51769-a8aa-40bf-803e-67f9d3e36824","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-23T20:00:00Z","2025-06-23T22:48:35.63191Z","2025-06-23T23:26:04.811475Z","true"
"069691fb-4795-4419-906a-8043fce9679f","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-05-22T20:00:00Z","2025-05-23T10:30:37.212531Z","2025-05-23T10:38:02.896903Z","true"
"341ab78d-5d68-412b-9d67-f421207fe3d3","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-16T20:45:00Z","2025-06-16T22:40:07.947642Z","2025-06-17T00:14:52.920055Z","true"
"effa9603-2598-4e72-bb8a-430fbc8c148a","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-27T17:45:00Z","2025-06-27T18:32:18.480471Z","2025-06-27T19:28:12.445876Z","true"
"9a3dc206-cea4-4489-b779-eeccc6cd5ff7","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-03T19:30:00Z","2025-06-04T01:05:44.828143Z","2025-06-04T01:12:51.682415Z","true"
"5667c22b-2722-4564-aed7-e8d7f68e670e","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-12T18:00:00Z","2025-06-15T18:25:18.280065Z","2025-06-15T19:00:32.882668Z","true"
