note,start_time,end_time,status_id,created_at,updated_at,donor_id
notas 8.261 e 8.262,2025-06-16 17:15:14.249,2025-06-16 19:30:14.249,4,2025-06-16 17:02:17.148058,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
NOTAS 8.275- 8.277 E 8.279,2025-06-17 17:00:55.287,2025-06-17 19:00:55.287,4,2025-06-17 15:16:57.834803,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
notas = 8.301 e 8.302,2025-06-19 17:00:11.054,2025-06-19 19:00:11.054,4,2025-06-19 15:10:13.52896,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
notas 8.308 e 8.309,2025-06-20 16:30:41.102,2025-06-20 19:00:41.102,4,2025-06-20 16:10:43.849904,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-06-21 15:00:44.162,2025-06-21 17:00:44.162,4,2025-06-21 15:10:47.375329,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
notas = 8.317 E 8.318,2025-06-23 17:00:31.556,2025-06-23 18:30:31.556,4,2025-06-23 16:29:34.688288,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
"Por favor trazer mais caixas 
4 Notas fiscais ",2025-06-24 15:00:41.955,2025-06-24 17:30:41.955,4,2025-06-24 14:44:45.066449,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
nota 8.333,2025-06-25 17:00:30.217,2025-06-25 19:00:30.217,4,2025-06-25 16:21:37.022255,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
notas = 8.340 E 8.341,2025-06-26 17:00:47.941,2025-06-26 19:00:47.941,4,2025-06-26 15:12:53.527616,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
notas 8.346 e 8.347,2025-06-27 17:00:36.843,2025-06-27 19:00:36.843,4,2025-06-27 15:22:39.111991,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
notas = 8.358 e 8.359,2025-06-30 19:00:40.533,2025-06-30 20:00:40.533,4,2025-06-30 19:03:43.081874,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
null,2025-05-14 15:30:00,2025-05-14 16:30:00,4,2025-05-14 15:30:00,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
notas : 8.651 - 8.653 e 8.654,2025-08-01 17:00:40.01,2025-08-01 19:00:40.01,4,2025-08-01 16:42:42.505299,2025-08-01 16:42:42.505299,7c2166f9-688b-40c6-8f2f-55113a223be4
Coleta: https://infineat-production.herokuapp.com/admin/donation_packs/ef467977-a78a-4f18-ab7b-a5bb4eb64d17,2025-07-31 16:30:35.654,2025-07-31 19:30:35.654,4,2025-07-31 16:12:37.464623,2025-07-31 16:12:37.464623,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-08-05 16:00:22.33,2025-08-05 19:30:22.33,4,2025-08-05 15:51:24.789898,2025-08-05 15:51:24.789898,7c2166f9-688b-40c6-8f2f-55113a223be4
notas = 8.668 E 8.669,2025-08-04 16:30:35.218,2025-08-04 19:00:35.218,4,2025-08-04 16:05:36.989599,2025-08-04 16:05:36.989599,7c2166f9-688b-40c6-8f2f-55113a223be4
